,Season,labels
243,Season 1,disgust
244,Season 1,surprise
245,Season 1,joy
246,Season 1,neutral
247,Season 1,joy
248,Season 1,fear
249,Season 1,neutral
250,Season 1,neutral
251,Season 1,surprise
252,Season 1,neutral
253,Season 1,neutral
254,Season 1,neutral
255,Season 1,surprise
256,Season 1,neutral
257,Season 1,joy
258,Season 1,neutral
259,Season 1,neutral
260,Season 1,neutral
261,Season 1,neutral
262,Season 1,joy
263,Season 1,joy
264,Season 1,neutral
265,Season 1,surprise
266,Season 1,neutral
267,Season 1,neutral
268,Season 1,surprise
269,Season 1,neutral
270,Season 1,neutral
271,Season 1,anger
272,Season 1,neutral
273,Season 1,anger
274,Season 1,surprise
275,Season 1,neutral
276,Season 1,neutral
277,Season 1,neutral
278,Season 1,disgust
279,Season 1,neutral
280,Season 1,surprise
281,Season 1,surprise
282,Season 1,fear
283,Season 1,neutral
284,Season 1,anger
285,Season 1,neutral
286,Season 1,anger
287,Season 1,neutral
288,Season 1,neutral
289,Season 1,neutral
290,Season 1,fear
291,Season 1,neutral
292,Season 1,surprise
293,Season 1,disgust
294,Season 1,neutral
295,Season 1,sadness
296,Season 1,joy
297,Season 1,neutral
298,Season 1,neutral
299,Season 1,neutral
300,Season 1,neutral
301,Season 1,neutral
302,Season 1,neutral
303,Season 1,joy
304,Season 1,neutral
305,Season 1,neutral
306,Season 1,neutral
307,Season 1,neutral
308,Season 1,neutral
309,Season 1,neutral
310,Season 1,neutral
311,Season 1,neutral
312,Season 1,neutral
313,Season 1,neutral
314,Season 1,joy
315,Season 1,neutral
316,Season 1,sadness
317,Season 1,anger
318,Season 1,anger
319,Season 1,anger
320,Season 1,neutral
321,Season 1,neutral
322,Season 1,surprise
323,Season 1,surprise
324,Season 1,neutral
325,Season 1,neutral
326,Season 1,joy
327,Season 1,neutral
328,Season 1,neutral
329,Season 1,neutral
330,Season 1,surprise
331,Season 1,anger
332,Season 1,neutral
333,Season 1,neutral
334,Season 1,sadness
335,Season 1,disgust
336,Season 1,disgust
337,Season 1,neutral
338,Season 1,neutral
339,Season 1,neutral
340,Season 1,anger
341,Season 1,neutral
342,Season 1,sadness
343,Season 1,neutral
344,Season 1,anger
345,Season 1,sadness
346,Season 1,neutral
347,Season 1,surprise
348,Season 1,neutral
349,Season 1,neutral
350,Season 1,disgust
351,Season 1,neutral
352,Season 1,joy
353,Season 1,surprise
354,Season 1,neutral
355,Season 1,surprise
356,Season 1,neutral
357,Season 1,disgust
358,Season 1,neutral
359,Season 1,surprise
360,Season 1,surprise
361,Season 1,neutral
362,Season 1,disgust
363,Season 1,disgust
364,Season 1,disgust
365,Season 1,neutral
366,Season 1,surprise
367,Season 1,anger
368,Season 1,neutral
369,Season 1,neutral
370,Season 1,sadness
371,Season 1,surprise
372,Season 1,anger
373,Season 1,joy
374,Season 1,neutral
375,Season 1,surprise
376,Season 1,neutral
377,Season 1,neutral
378,Season 1,neutral
379,Season 1,disgust
380,Season 1,neutral
381,Season 1,surprise
382,Season 1,neutral
383,Season 1,joy
384,Season 1,anger
385,Season 1,joy
386,Season 1,neutral
387,Season 1,disgust
388,Season 1,anger
389,Season 1,neutral
390,Season 1,surprise
391,Season 1,neutral
392,Season 1,disgust
393,Season 1,neutral
394,Season 1,neutral
395,Season 1,neutral
396,Season 1,neutral
397,Season 1,fear
398,Season 1,neutral
399,Season 1,neutral
400,Season 1,neutral
401,Season 1,sadness
402,Season 1,neutral
403,Season 1,fear
404,Season 1,sadness
405,Season 1,neutral
406,Season 1,sadness
407,Season 1,neutral
408,Season 1,neutral
409,Season 1,neutral
410,Season 1,neutral
411,Season 1,surprise
412,Season 1,disgust
413,Season 1,neutral
414,Season 1,neutral
415,Season 1,neutral
416,Season 1,neutral
417,Season 1,neutral
418,Season 1,anger
419,Season 1,neutral
420,Season 1,disgust
421,Season 1,neutral
422,Season 1,neutral
423,Season 1,neutral
424,Season 1,neutral
425,Season 1,neutral
426,Season 1,surprise
427,Season 1,neutral
428,Season 1,surprise
429,Season 1,neutral
430,Season 1,disgust
431,Season 1,neutral
432,Season 1,anger
433,Season 1,disgust
434,Season 1,disgust
435,Season 1,neutral
436,Season 1,neutral
437,Season 1,neutral
438,Season 1,neutral
439,Season 1,neutral
440,Season 1,fear
441,Season 1,disgust
442,Season 1,neutral
443,Season 1,neutral
444,Season 1,neutral
445,Season 1,neutral
446,Season 1,neutral
447,Season 1,neutral
448,Season 1,neutral
449,Season 1,surprise
450,Season 1,anger
451,Season 1,surprise
452,Season 1,sadness
453,Season 1,anger
454,Season 1,disgust
455,Season 1,neutral
456,Season 1,disgust
457,Season 1,neutral
458,Season 1,neutral
459,Season 1,neutral
460,Season 1,neutral
461,Season 1,neutral
462,Season 1,anger
463,Season 1,neutral
464,Season 1,joy
465,Season 1,neutral
466,Season 1,sadness
467,Season 1,fear
468,Season 1,fear
469,Season 1,disgust
470,Season 1,anger
471,Season 1,neutral
472,Season 1,disgust
473,Season 1,anger
474,Season 1,surprise
475,Season 1,sadness
476,Season 1,surprise
477,Season 1,anger
478,Season 1,neutral
479,Season 1,disgust
480,Season 1,surprise
481,Season 1,neutral
482,Season 1,neutral
483,Season 1,neutral
484,Season 1,joy
485,Season 1,neutral
486,Season 1,anger
487,Season 1,surprise
488,Season 1,neutral
489,Season 1,neutral
490,Season 1,neutral
491,Season 1,neutral
492,Season 1,neutral
493,Season 1,neutral
494,Season 1,surprise
495,Season 1,neutral
496,Season 1,anger
497,Season 1,surprise
498,Season 1,fear
499,Season 1,disgust
500,Season 1,anger
501,Season 1,neutral
502,Season 1,surprise
503,Season 1,neutral
504,Season 1,joy
505,Season 1,sadness
506,Season 1,sadness
507,Season 1,sadness
508,Season 1,neutral
509,Season 1,fear
510,Season 1,fear
511,Season 1,neutral
512,Season 1,neutral
513,Season 1,neutral
514,Season 1,surprise
515,Season 1,anger
516,Season 1,neutral
517,Season 1,anger
518,Season 1,surprise
519,Season 1,anger
520,Season 1,fear
521,Season 1,neutral
522,Season 1,fear
523,Season 1,anger
524,Season 1,neutral
525,Season 1,fear
526,Season 1,neutral
527,Season 1,fear
528,Season 1,joy
529,Season 1,surprise
530,Season 1,anger
531,Season 1,surprise
532,Season 1,surprise
533,Season 1,disgust
534,Season 1,neutral
535,Season 1,neutral
536,Season 1,surprise
537,Season 1,neutral
538,Season 1,neutral
539,Season 1,disgust
540,Season 1,anger
541,Season 1,anger
542,Season 1,anger
543,Season 1,anger
544,Season 1,anger
545,Season 1,surprise
546,Season 1,neutral
547,Season 1,anger
548,Season 1,fear
549,Season 1,neutral
550,Season 1,anger
551,Season 1,disgust
552,Season 1,neutral
553,Season 1,fear
554,Season 1,anger
555,Season 1,disgust
556,Season 1,neutral
557,Season 1,neutral
558,Season 1,surprise
559,Season 1,disgust
560,Season 1,neutral
561,Season 1,anger
562,Season 1,joy
563,Season 1,sadness
564,Season 1,sadness
565,Season 1,neutral
566,Season 1,neutral
567,Season 1,anger
568,Season 1,sadness
569,Season 1,anger
570,Season 1,disgust
571,Season 1,anger
572,Season 1,anger
573,Season 1,anger
574,Season 1,neutral
575,Season 1,anger
576,Season 1,anger
577,Season 1,neutral
578,Season 1,neutral
579,Season 1,anger
580,Season 1,surprise
581,Season 1,anger
582,Season 1,anger
583,Season 1,anger
584,Season 1,anger
585,Season 1,anger
586,Season 1,anger
587,Season 1,sadness
588,Season 1,anger
589,Season 1,joy
590,Season 1,disgust
591,Season 1,disgust
592,Season 1,neutral
593,Season 1,neutral
594,Season 1,neutral
595,Season 1,neutral
596,Season 1,anger
597,Season 1,neutral
598,Season 1,anger
599,Season 1,anger
600,Season 1,anger
601,Season 1,surprise
602,Season 1,neutral
603,Season 1,neutral
604,Season 1,neutral
605,Season 1,neutral
606,Season 1,neutral
607,Season 1,disgust
608,Season 1,disgust
609,Season 1,neutral
610,Season 1,neutral
611,Season 1,neutral
612,Season 1,disgust
613,Season 1,neutral
614,Season 1,neutral
615,Season 1,joy
616,Season 1,surprise
617,Season 1,neutral
618,Season 1,sadness
619,Season 1,neutral
620,Season 1,surprise
621,Season 1,neutral
622,Season 1,neutral
623,Season 1,anger
624,Season 1,neutral
625,Season 1,neutral
626,Season 1,neutral
627,Season 1,neutral
628,Season 1,sadness
629,Season 1,disgust
630,Season 1,sadness
631,Season 1,neutral
632,Season 1,neutral
633,Season 1,neutral
634,Season 1,anger
635,Season 1,neutral
636,Season 1,joy
637,Season 1,disgust
638,Season 1,neutral
639,Season 1,neutral
640,Season 1,fear
641,Season 1,surprise
642,Season 1,fear
643,Season 1,neutral
644,Season 1,neutral
645,Season 1,neutral
646,Season 1,surprise
647,Season 1,joy
648,Season 1,neutral
649,Season 1,neutral
650,Season 1,surprise
651,Season 1,sadness
652,Season 1,anger
653,Season 1,neutral
654,Season 1,surprise
655,Season 1,fear
656,Season 1,neutral
657,Season 1,disgust
658,Season 1,neutral
659,Season 1,neutral
660,Season 1,neutral
661,Season 1,neutral
662,Season 1,disgust
663,Season 1,neutral
664,Season 1,anger
665,Season 1,anger
666,Season 1,sadness
667,Season 1,disgust
668,Season 1,sadness
669,Season 1,neutral
670,Season 1,neutral
671,Season 1,neutral
672,Season 1,neutral
673,Season 1,surprise
674,Season 1,disgust
675,Season 1,neutral
676,Season 1,anger
677,Season 1,neutral
678,Season 1,neutral
679,Season 1,anger
680,Season 1,neutral
681,Season 1,fear
682,Season 1,neutral
683,Season 1,anger
684,Season 1,anger
685,Season 1,joy
686,Season 1,surprise
687,Season 1,disgust
688,Season 1,anger
689,Season 1,anger
690,Season 1,anger
691,Season 1,disgust
692,Season 1,anger
693,Season 1,anger
694,Season 1,surprise
695,Season 1,surprise
696,Season 1,disgust
697,Season 1,neutral
698,Season 1,surprise
699,Season 1,disgust
700,Season 1,surprise
701,Season 1,neutral
702,Season 1,neutral
703,Season 1,anger
704,Season 1,surprise
705,Season 1,neutral
706,Season 1,neutral
707,Season 1,sadness
708,Season 1,anger
709,Season 1,neutral
710,Season 1,neutral
711,Season 1,neutral
712,Season 1,neutral
713,Season 1,anger
714,Season 1,anger
715,Season 1,disgust
716,Season 1,anger
717,Season 1,anger
718,Season 1,anger
719,Season 1,surprise
720,Season 1,disgust
721,Season 1,neutral
722,Season 1,fear
723,Season 1,anger
724,Season 1,fear
725,Season 1,neutral
726,Season 1,anger
727,Season 1,anger
728,Season 1,disgust
729,Season 1,disgust
730,Season 1,fear
731,Season 1,fear
732,Season 1,anger
733,Season 1,neutral
734,Season 1,neutral
735,Season 1,neutral
736,Season 1,surprise
737,Season 1,neutral
738,Season 1,anger
739,Season 1,sadness
740,Season 1,neutral
741,Season 1,neutral
742,Season 1,disgust
743,Season 1,neutral
744,Season 1,neutral
745,Season 1,neutral
746,Season 1,neutral
747,Season 1,neutral
748,Season 1,anger
749,Season 1,anger
750,Season 1,anger
751,Season 1,anger
752,Season 1,sadness
753,Season 1,surprise
754,Season 1,joy
755,Season 1,neutral
756,Season 1,neutral
757,Season 1,sadness
758,Season 1,surprise
759,Season 1,neutral
760,Season 1,surprise
761,Season 1,sadness
762,Season 1,neutral
763,Season 1,surprise
764,Season 1,neutral
765,Season 1,surprise
766,Season 1,disgust
767,Season 1,disgust
768,Season 1,neutral
769,Season 1,disgust
770,Season 1,joy
771,Season 1,neutral
772,Season 1,neutral
773,Season 1,neutral
774,Season 1,neutral
775,Season 1,neutral
776,Season 1,neutral
777,Season 1,joy
778,Season 1,sadness
779,Season 1,surprise
780,Season 1,neutral
781,Season 1,joy
782,Season 1,disgust
783,Season 1,neutral
784,Season 1,anger
785,Season 1,neutral
786,Season 1,surprise
787,Season 1,surprise
788,Season 1,surprise
789,Season 1,neutral
790,Season 1,neutral
791,Season 1,neutral
792,Season 1,neutral
793,Season 1,neutral
794,Season 1,disgust
795,Season 1,anger
796,Season 1,surprise
797,Season 1,anger
798,Season 1,neutral
799,Season 1,neutral
800,Season 1,neutral
801,Season 1,anger
802,Season 1,neutral
803,Season 1,neutral
804,Season 1,anger
805,Season 1,neutral
806,Season 1,surprise
807,Season 1,neutral
808,Season 1,disgust
809,Season 1,anger
810,Season 1,anger
811,Season 1,neutral
812,Season 1,surprise
813,Season 1,neutral
814,Season 1,anger
815,Season 1,neutral
816,Season 1,anger
817,Season 1,sadness
818,Season 1,fear
819,Season 1,neutral
820,Season 1,neutral
821,Season 1,disgust
822,Season 1,anger
823,Season 1,neutral
824,Season 1,anger
825,Season 1,anger
826,Season 1,neutral
827,Season 1,surprise
828,Season 1,anger
829,Season 1,neutral
830,Season 1,neutral
831,Season 1,surprise
832,Season 1,neutral
833,Season 1,surprise
834,Season 1,neutral
835,Season 1,anger
836,Season 1,sadness
837,Season 1,surprise
838,Season 1,sadness
839,Season 1,disgust
840,Season 1,disgust
841,Season 1,neutral
842,Season 1,neutral
843,Season 1,sadness
844,Season 1,neutral
845,Season 1,neutral
846,Season 1,anger
847,Season 1,anger
848,Season 1,disgust
849,Season 1,surprise
850,Season 1,neutral
851,Season 1,anger
852,Season 1,anger
853,Season 1,neutral
854,Season 1,neutral
855,Season 1,neutral
856,Season 1,anger
857,Season 1,neutral
858,Season 1,anger
859,Season 1,neutral
860,Season 1,anger
861,Season 1,anger
862,Season 1,neutral
863,Season 1,neutral
864,Season 1,sadness
865,Season 1,surprise
866,Season 1,fear
867,Season 1,neutral
868,Season 1,disgust
869,Season 1,neutral
870,Season 1,anger
871,Season 1,neutral
872,Season 1,neutral
873,Season 1,disgust
874,Season 1,surprise
875,Season 1,disgust
876,Season 1,neutral
877,Season 1,disgust
878,Season 1,neutral
879,Season 1,neutral
880,Season 1,neutral
881,Season 1,neutral
882,Season 1,surprise
883,Season 1,neutral
884,Season 1,neutral
885,Season 1,neutral
886,Season 1,anger
887,Season 1,neutral
888,Season 1,neutral
889,Season 1,neutral
890,Season 1,neutral
891,Season 1,joy
892,Season 1,neutral
893,Season 1,neutral
894,Season 1,neutral
895,Season 1,neutral
896,Season 1,neutral
897,Season 1,neutral
898,Season 1,disgust
899,Season 1,neutral
900,Season 1,neutral
901,Season 1,surprise
902,Season 1,neutral
903,Season 1,neutral
904,Season 1,neutral
905,Season 1,neutral
906,Season 1,surprise
907,Season 1,neutral
908,Season 1,neutral
909,Season 1,neutral
910,Season 1,neutral
911,Season 1,neutral
912,Season 1,neutral
913,Season 1,disgust
914,Season 1,disgust
915,Season 1,neutral
916,Season 1,neutral
917,Season 1,neutral
918,Season 1,neutral
919,Season 1,disgust
920,Season 1,neutral
921,Season 1,joy
922,Season 1,disgust
923,Season 1,disgust
924,Season 1,neutral
925,Season 1,neutral
926,Season 1,anger
927,Season 1,neutral
928,Season 1,neutral
929,Season 1,neutral
930,Season 1,neutral
931,Season 1,neutral
932,Season 1,neutral
933,Season 1,neutral
934,Season 1,disgust
935,Season 1,neutral
936,Season 1,fear
937,Season 1,neutral
938,Season 1,neutral
939,Season 1,surprise
940,Season 1,neutral
941,Season 1,sadness
942,Season 1,neutral
943,Season 1,neutral
944,Season 1,surprise
945,Season 1,sadness
946,Season 1,neutral
947,Season 1,neutral
948,Season 1,neutral
949,Season 1,neutral
950,Season 1,sadness
951,Season 1,surprise
952,Season 1,joy
953,Season 1,neutral
954,Season 1,sadness
955,Season 1,neutral
956,Season 1,fear
957,Season 1,neutral
958,Season 1,joy
959,Season 1,neutral
960,Season 1,disgust
961,Season 1,surprise
962,Season 1,sadness
963,Season 1,sadness
964,Season 1,neutral
965,Season 1,anger
966,Season 1,surprise
967,Season 1,sadness
968,Season 1,anger
969,Season 1,joy
970,Season 1,neutral
971,Season 1,disgust
972,Season 1,neutral
973,Season 1,neutral
974,Season 1,neutral
975,Season 1,neutral
976,Season 1,disgust
977,Season 1,surprise
978,Season 1,neutral
979,Season 1,neutral
980,Season 1,neutral
981,Season 1,neutral
982,Season 1,sadness
983,Season 1,neutral
984,Season 1,neutral
985,Season 1,joy
986,Season 1,sadness
987,Season 1,neutral
988,Season 1,anger
989,Season 1,sadness
990,Season 1,neutral
991,Season 1,neutral
992,Season 1,neutral
993,Season 1,disgust
994,Season 1,neutral
995,Season 1,surprise
996,Season 1,sadness
997,Season 1,neutral
998,Season 1,neutral
999,Season 1,disgust
1000,Season 1,neutral
1001,Season 1,disgust
1002,Season 1,neutral
1003,Season 1,anger
1004,Season 1,fear
1005,Season 1,sadness
1006,Season 1,neutral
1007,Season 1,anger
1008,Season 1,anger
1009,Season 1,neutral
1010,Season 1,neutral
1011,Season 1,neutral
1012,Season 1,disgust
1013,Season 1,anger
1014,Season 1,anger
1015,Season 1,anger
1016,Season 1,neutral
1017,Season 1,surprise
1018,Season 1,neutral
1019,Season 1,neutral
1020,Season 1,anger
1021,Season 1,anger
1022,Season 1,surprise
1023,Season 1,disgust
1024,Season 1,neutral
1025,Season 1,neutral
1026,Season 1,anger
1027,Season 1,sadness
1028,Season 1,neutral
1029,Season 1,disgust
1030,Season 1,disgust
1031,Season 1,sadness
1032,Season 1,anger
1033,Season 1,anger
1034,Season 1,anger
1035,Season 1,neutral
1036,Season 1,anger
1037,Season 1,neutral
1038,Season 1,disgust
1039,Season 1,disgust
1040,Season 1,anger
1041,Season 1,neutral
1042,Season 1,fear
1043,Season 1,surprise
1044,Season 1,neutral
1045,Season 1,surprise
1046,Season 1,anger
1047,Season 1,disgust
1048,Season 1,neutral
1049,Season 1,surprise
1050,Season 1,sadness
1051,Season 1,surprise
1052,Season 1,disgust
1053,Season 1,surprise
1054,Season 1,surprise
1055,Season 1,neutral
1056,Season 1,neutral
1057,Season 1,surprise
1058,Season 1,neutral
1059,Season 1,anger
1060,Season 1,neutral
1061,Season 1,neutral
1062,Season 1,surprise
1063,Season 1,joy
1064,Season 1,joy
1065,Season 1,neutral
1066,Season 1,surprise
1067,Season 1,disgust
1068,Season 1,surprise
1069,Season 1,disgust
1070,Season 1,sadness
1071,Season 1,neutral
1072,Season 1,disgust
1073,Season 1,sadness
1074,Season 1,sadness
1075,Season 1,anger
1076,Season 1,anger
1077,Season 1,neutral
1078,Season 1,fear
1079,Season 1,neutral
1080,Season 1,anger
1081,Season 1,fear
1082,Season 1,neutral
1083,Season 1,neutral
1084,Season 1,anger
1085,Season 1,neutral
1086,Season 1,anger
1087,Season 1,anger
1088,Season 1,neutral
1089,Season 1,anger
1090,Season 1,anger
1091,Season 1,neutral
1092,Season 1,disgust
1093,Season 1,neutral
1094,Season 1,disgust
1095,Season 1,neutral
1096,Season 1,sadness
1097,Season 1,disgust
1098,Season 1,disgust
1099,Season 1,neutral
1100,Season 1,anger
1101,Season 1,neutral
1102,Season 1,sadness
1103,Season 1,neutral
1104,Season 1,neutral
1105,Season 1,sadness
1106,Season 1,neutral
1107,Season 1,disgust
1108,Season 1,fear
1109,Season 1,neutral
1110,Season 1,neutral
1111,Season 1,neutral
1112,Season 1,surprise
1113,Season 1,neutral
1114,Season 1,joy
1115,Season 1,neutral
1116,Season 1,joy
1117,Season 1,neutral
1118,Season 1,neutral
1119,Season 1,neutral
1120,Season 1,joy
1121,Season 1,sadness
1122,Season 1,surprise
1123,Season 1,neutral
1124,Season 1,neutral
1125,Season 1,disgust
1126,Season 1,surprise
1127,Season 1,fear
1128,Season 1,joy
1129,Season 1,neutral
1130,Season 1,sadness
1131,Season 1,joy
1132,Season 1,neutral
1133,Season 1,disgust
1134,Season 1,sadness
1135,Season 1,sadness
1136,Season 1,neutral
1137,Season 1,surprise
1138,Season 1,neutral
1139,Season 1,neutral
1140,Season 1,neutral
1141,Season 1,surprise
1142,Season 1,disgust
1143,Season 1,fear
1144,Season 1,disgust
1145,Season 1,disgust
1146,Season 1,neutral
1147,Season 1,neutral
1148,Season 1,neutral
1149,Season 1,joy
1150,Season 1,neutral
1151,Season 1,neutral
1152,Season 1,sadness
1153,Season 1,neutral
1154,Season 1,surprise
1155,Season 1,neutral
1156,Season 1,neutral
1157,Season 1,neutral
1158,Season 1,neutral
1159,Season 1,neutral
1160,Season 1,neutral
1161,Season 1,surprise
1162,Season 1,neutral
1163,Season 1,neutral
1164,Season 1,neutral
1165,Season 1,neutral
1166,Season 1,neutral
1167,Season 1,neutral
1168,Season 1,disgust
1169,Season 1,fear
1170,Season 1,anger
1171,Season 1,neutral
1172,Season 1,sadness
1173,Season 1,disgust
1174,Season 1,disgust
1175,Season 1,neutral
1176,Season 1,sadness
1177,Season 1,anger
1178,Season 1,neutral
1179,Season 1,neutral
1180,Season 1,disgust
1181,Season 1,neutral
1182,Season 1,neutral
1183,Season 1,neutral
1184,Season 1,neutral
1185,Season 1,neutral
1186,Season 1,fear
1187,Season 1,disgust
1188,Season 1,surprise
1189,Season 1,neutral
1190,Season 1,neutral
1191,Season 1,sadness
1192,Season 1,disgust
1193,Season 1,neutral
1194,Season 1,joy
1195,Season 1,neutral
1196,Season 1,disgust
1197,Season 1,neutral
1198,Season 1,sadness
1199,Season 1,neutral
1200,Season 1,disgust
1201,Season 1,joy
1202,Season 1,neutral
1203,Season 1,neutral
1204,Season 1,neutral
1205,Season 1,surprise
1206,Season 1,neutral
1207,Season 1,anger
1208,Season 1,disgust
1209,Season 1,surprise
1210,Season 1,neutral
1211,Season 1,disgust
1212,Season 1,surprise
1213,Season 1,neutral
1214,Season 1,surprise
1215,Season 1,sadness
1216,Season 1,anger
1217,Season 1,neutral
1218,Season 1,disgust
1219,Season 1,neutral
1220,Season 1,neutral
1221,Season 1,surprise
1222,Season 1,disgust
1223,Season 1,anger
1224,Season 1,anger
1225,Season 1,neutral
1226,Season 1,surprise
1227,Season 1,fear
1228,Season 1,neutral
1229,Season 1,fear
1230,Season 1,disgust
1231,Season 1,disgust
1232,Season 1,neutral
1233,Season 1,anger
1234,Season 1,fear
1235,Season 1,joy
1236,Season 1,surprise
1237,Season 1,disgust
1238,Season 1,neutral
1239,Season 1,neutral
1240,Season 1,neutral
1241,Season 1,neutral
1242,Season 1,surprise
1243,Season 1,neutral
1244,Season 1,surprise
1245,Season 1,neutral
1246,Season 1,disgust
1247,Season 1,anger
1248,Season 1,anger
1249,Season 1,anger
1250,Season 1,surprise
1251,Season 1,anger
1252,Season 1,anger
1253,Season 1,neutral
1254,Season 1,neutral
1255,Season 1,anger
1256,Season 1,neutral
1257,Season 1,neutral
1258,Season 1,surprise
1259,Season 1,neutral
1260,Season 1,surprise
1261,Season 1,neutral
1262,Season 1,disgust
1263,Season 1,anger
1264,Season 1,disgust
1265,Season 1,neutral
1266,Season 1,anger
1267,Season 1,disgust
1268,Season 1,neutral
1269,Season 1,disgust
1270,Season 1,neutral
1271,Season 1,anger
1272,Season 1,surprise
